cited_path	classification	n_citations	thinkers
materials/primary_texts/sanskrit/_more/SribhasyaOfRamanujaPart1Chatuhsutri1959R.D.Karmakar.txt	DEGRADED	2	full_tr:ramanuja__shri-bhasya
materials/primary_texts/sanskrit/bhagavata_purana.txt	CLEAN	1	full_tr:madhva__bhagavata-tatparya-nirnaya
materials/primary_texts/sanskrit/caitanya_gaudiya/rupa_padyavali.txt	CLEAN	1	full_tr:caitanya__shikshashtakam
materials/primary_texts/sanskrit/vedanta/brahma_sutra.txt	CLEAN	1	full_tr:bhaskara__brahma-sutra-bhasya
materials/primary_texts/sanskrit/vedanta/brahma_sutra_alt.txt	CLEAN	1	full_tr:jayatirtha__tattva-prakashika
data/sources/sanskrit/vedanta/full_corpus/	UNKNOWN	1	full_tr:sureshvara__brhadaranyaka-varttika
materials/primary_texts/sanskrit/vedanta/full_corpus/corpus_meta.tsv:1	UNKNOWN	1	full_tr:bhaskara__brahma-sutra-bhasya
data/sources/sanskrit/vedanta/full_corpus/gaudapada_mandukya_karika_gretil.txt	CLEAN	4	gaudapada
data/sources/sanskrit/vedanta/full_corpus/madhva_anuvyakhyana_gretil.txt	CLEAN	4	madhva
materials/primary_texts/sanskrit/vedanta/full_corpus/madhva_brahma_sutra_bhasya_vol1_archive.pdf	IMAGE-ONLY	1	full_tr:jayatirtha__tattva-prakashika
materials/primary_texts/sanskrit/vedanta/full_corpus/sarvajnatman_sanksepa_sariraka_veezhinathan_1972_archive.pdf	IMAGE-ONLY	4	sarvajnatman
materials/primary_texts/sanskrit/vedanta/full_corpus/vimuktatman_ista_siddhi_1933_archive.pdf.	UNKNOWN	5	vimuktatman
